file,No,variable,source,used,match
original_workbook,6,H_m,970.0,970.0,True
original_workbook,7,H_m,640.0,640.0,True
original_workbook,8,H_m,470.0,470.0,True
original_workbook,9,H_m,920.0,920.0,True
original_workbook,10,H_m,188.0,188.0,True
original_workbook,11,H_m,754.0,754.0,True
original_workbook,12,H_m,531.0,531.0,True
original_workbook,13,H_m,910.0,910.0,True
original_workbook,14,H_m,1000.0,1000.0,True
original_workbook,15,H_m,698.0,698.0,True
original_workbook,16,H_m,972.0,972.0,True
original_workbook,17,H_m,1027.0,1027.0,True
original_workbook,18,H_m,865.0,865.0,True
original_workbook,19,H_m,529.0,529.0,True
original_workbook,20,H_m,772.0,772.0,True
original_workbook,21,H_m,643.0,643.0,True
original_workbook,22,H_m,585.0,585.0,True
original_workbook,23,H_m,463.0,463.0,True
original_workbook,24,H_m,532.0,532.0,True
original_workbook,25,H_m,546.0,546.0,True
original_workbook,26,H_m,1490.0,1490.0,True
original_workbook,27,H_m,1177.0,1177.0,True
original_workbook,28,H_m,986.0,986.0,True
original_workbook,29,H_m,963.0,963.0,True
original_workbook,30,H_m,876.0,876.0,True
original_workbook,31,H_m,886.0,886.0,True
original_workbook,32,H_m,1870.0,1870.0,True
original_workbook,33,H_m,1288.0,1288.0,True
original_workbook,34,H_m,1842.0,1842.0,True
original_workbook,35,H_m,1820.0,1820.0,True
original_workbook,36,H_m,2900.0,2900.0,True
original_workbook,37,H_m,984.0,984.0,True
original_workbook,38,H_m,935.0,935.0,True
original_workbook,39,H_m,1220.0,1220.0,True
original_workbook,40,H_m,1678.0,1678.0,True
original_workbook,41,H_m,1596.0,1596.0,True
original_workbook,42,H_m,1453.0,1453.0,True
original_workbook,43,H_m,2382.0,2382.0,True
original_workbook,44,H_m,1000.0,1000.0,True
original_workbook,45,H_m,1600.0,1600.0,True
original_workbook,46,H_m,1580.0,1580.0,True
original_workbook,47,H_m,2952.0,2952.0,True
original_workbook,48,H_m,650.0,650.0,True
original_workbook,49,H_m,1605.0,1605.0,True
original_workbook,50,H_m,965.0,965.0,True
original_workbook,51,H_m,1002.0,1002.0,True
original_workbook,52,H_m,952.0,952.0,True
original_workbook,53,H_m,1668.0,1668.0,True
original_workbook,54,H_m,434.0,434.0,True
original_workbook,55,H_m,440.0,440.0,True
original_workbook,56,H_m,460.0,460.0,True
original_workbook,57,H_m,660.0,660.0,True
original_workbook,58,H_m,1120.0,1120.0,True
original_workbook,59,H_m,1162.0,1162.0,True
original_workbook,60,H_m,1203.0,1203.0,True
original_workbook,1,L_km,4.56,4.56,True
original_workbook,2,L_km,1.93,1.93,True
original_workbook,3,L_km,2.22,2.22,True
original_workbook,4,L_km,1.45,1.45,True
original_workbook,5,L_km,3.94,3.94,True
original_workbook,6,L_km,3.1,3.1,True
original_workbook,7,L_km,2.41,2.41,True
original_workbook,8,L_km,1.2,1.2,True
original_workbook,9,L_km,2.61,2.61,True
original_workbook,10,L_km,0.58,0.58,True
original_workbook,11,L_km,1.43,1.43,True
original_workbook,12,L_km,0.74,0.74,True
original_workbook,13,L_km,4.01,4.01,True
original_workbook,14,L_km,1.15,1.15,True
original_workbook,15,L_km,2.17,2.17,True
original_workbook,16,L_km,1.46,1.46,True
original_workbook,17,L_km,1.12,1.12,True
original_workbook,18,L_km,1.26,1.26,True
original_workbook,19,L_km,0.78,0.78,True
original_workbook,20,L_km,2.8,2.8,True
original_workbook,21,L_km,0.68,0.68,True
original_workbook,22,L_km,0.74,0.74,True
original_workbook,23,L_km,0.67,0.67,True
original_workbook,24,L_km,0.84,0.84,True
original_workbook,25,L_km,0.74,0.74,True
