fold,model,R2,RMSE,MAE,time_s
17,AdaBoost,0.9047133024611105,0.1582669061964639,0.13777304952004948,0.13898038864135742
17,MLP,0.7500977119845098,0.2563061879286514,0.203011382309231,0.21785831451416016
18,TabPFN,0.7841601133210557,0.1720533750966015,0.13374451967949805,9.063594818115234
18,Ridge,0.7784275944055801,0.17432319644155417,0.14011843139567584,0.010809898376464844
18,Lasso,0.7854161059473734,0.17155204731810886,0.13917142547677483,0.0
18,ElasticNet,0.7834132010569148,0.1723508126878679,0.13898256601389017,0.0020055770874023438
18,SVR,0.6572208098095572,0.2168226102672045,0.188906968541366,0.0
18,KNN,0.6513047075832814,0.21868570059447712,0.17180962125095933,0.0
18,RF,0.7989646624369906,0.16604796061154667,0.12765645580525253,0.08131170272827148
18,GBR,0.7885993254611042,0.17027485871987155,0.12847954192413735,0.03178739547729492
18,XGBoost,0.7081032917468424,0.20008380738461057,0.14867981747133766,0.11906218528747559
18,AdaBoost,0.8238043908784778,0.15545148851061813,0.10800614610816779,0.1327202320098877
18,MLP,0.6713941532624632,0.2122926642560939,0.17015799071989066,0.11131525039672852
19,TabPFN,0.50094879949535,0.2241600082714234,0.19301312330002918,9.004934787750244
19,Ridge,0.427159524809805,0.2401609704453899,0.19834697198393994,0.0
19,Lasso,0.44491606283795126,0.23640949302693176,0.19572282197492516,0.0
19,ElasticNet,0.4367517775043389,0.23814172577449444,0.1971211402112222,0.0
19,SVR,0.3944609049441843,0.24692023144941794,0.19664179806888016,0.0
19,KNN,0.10945938336159577,0.29944181578158785,0.23883411056776463,0.0
19,RF,0.36623317246760134,0.2526098805546521,0.20775050050448193,0.07761454582214355
19,GBR,0.29502054310399195,0.26642428721898426,0.23156586911590063,0.04755425453186035
19,XGBoost,0.23668879317219382,0.27722755898708745,0.24135193390285306,0.11185908317565918
19,AdaBoost,0.40939749452320173,0.24385587557709112,0.20518797168963843,0.12438583374023438
19,MLP,0.4734511549000431,0.2302527966894802,0.1843783269089303,0.12817788124084473
20,TabPFN,0.8318888123346727,0.1729300110439769,0.14972738007526395,8.7501380443573
20,Ridge,0.8494617775708325,0.16364225399479668,0.13675531582440112,0.010080337524414062
20,Lasso,0.8516936763719468,0.16242463357422782,0.1357170601389482,0.002006053924560547
20,ElasticNet,0.8513338219352253,0.16262156992479737,0.13596874789772156,0.0
20,SVR,0.7081182853209578,0.22786388909248176,0.20777206117818278,0.002004384994506836
20,KNN,0.811063082174847,0.18332870648753477,0.14536641871283118,0.0
20,RF,0.8635815338265622,0.15577890333900574,0.14029536249813818,0.08218216896057129
20,GBR,0.7731813878566755,0.2008683006359678,0.17341200128502565,0.029701948165893555
20,XGBoost,0.7547427052907085,0.20887334788019876,0.18028566255423997,0.10765337944030762
20,AdaBoost,0.876606600856827,0.14815558410301016,0.13139217237779294,0.12860393524169922
20,MLP,0.8469645435067943,0.16499397770078889,0.15310073728898005,0.18117785453796387
21,TabPFN,0.8151481906783591,0.20472478866946028,0.1791481357680454,8.952975511550903
