fold,model,n_train,R2
1,GBR,35,0.7379006254961147
1,MLP,35,-2.071412571115819
1,TabPFN,40,0.866492763419788
1,RF,40,0.8401028192440039
1,XGBoost,40,0.8129665556433733
1,SVR,40,0.5901655846550016
1,Ridge,40,0.2497635476357727
1,GBR,40,0.7962351441779556
1,MLP,40,-1.2552676725552554
1,TabPFN,45,0.8728323572441905
1,RF,45,0.875334785288679
1,XGBoost,45,0.8065763890507962
1,SVR,45,0.6707130441749505
1,Ridge,45,0.14271577029193117
1,GBR,45,0.82952856734074
1,MLP,45,-0.29077557017483024
1,TabPFN,48,0.8639332935438505
1,RF,48,0.838989470725436
1,XGBoost,48,0.8157888157114059
1,SVR,48,0.5664188915963498
1,Ridge,48,0.0545281479593408
1,GBR,48,0.7745852201969378
1,MLP,48,-0.3369906941853349
2,TabPFN,10,0.8639229878282599
2,RF,10,0.7625301846608553
2,XGBoost,10,0.7841167634732862
2,SVR,10,0.4973545458741754
2,Ridge,10,-0.028598707227680098
2,GBR,10,0.8299758273711582
2,MLP,10,-0.8567149062409698
2,TabPFN,15,0.8526758655575095
2,RF,15,0.8166583223761716
2,XGBoost,15,0.4040131199811424
2,SVR,15,0.6467429374911484
2,Ridge,15,0.5093880675747053
2,GBR,15,0.833348417466746
2,MLP,15,0.3459547614675673
2,TabPFN,20,0.9220096488565839
2,RF,20,0.8793985066844932
2,XGBoost,20,0.8792756356652884
2,SVR,20,0.8115917198016478
2,Ridge,20,0.701430157992343
2,GBR,20,0.918707486330166
2,MLP,20,-0.42329820008066377
2,TabPFN,25,0.8615172015792433
2,RF,25,0.8208047157264199
2,XGBoost,25,0.7882033115987215
2,SVR,25,0.8134744498767499
2,Ridge,25,0.7443221400094471
2,GBR,25,0.7031646922443968
2,MLP,25,0.06616217902060995
2,TabPFN,30,0.8995162564058092
2,RF,30,0.881481488479001
2,XGBoost,30,0.9028988426486306
2,SVR,30,0.8285390751303232
2,Ridge,30,0.7153537764157514
2,GBR,30,0.87789188111349
2,MLP,30,-0.8880149184973898
2,TabPFN,35,0.9546713821163862
2,RF,35,0.9112979986962985
2,XGBoost,35,0.8556025262401108
2,SVR,35,0.7278744768616024
2,Ridge,35,0.7587491761811327
2,GBR,35,0.9231434763691364
2,MLP,35,0.9270583418164625
2,TabPFN,40,0.9278371039102222
2,RF,40,0.9006964691247845
2,XGBoost,40,0.8818563297745948
2,SVR,40,0.829894254932882
2,Ridge,40,0.7425974807738521
2,GBR,40,0.924377136071412
2,MLP,40,0.2981762687222478
2,TabPFN,45,0.9234730769099867
2,RF,45,0.9070945298503821
2,XGBoost,45,0.8944921176466323
2,SVR,45,0.8423481719225883
2,Ridge,45,0.7328865290563906
2,GBR,45,0.9163118690435852
2,MLP,45,0.9252326199291551
2,TabPFN,48,0.9359557514993654
2,RF,48,0.9153273555156946
2,XGBoost,48,0.9038120388137354
2,SVR,48,0.8400467782350622
2,Ridge,48,0.7296238221102003
2,GBR,48,0.9235869874728554
2,MLP,48,0.8709451345436637
3,TabPFN,10,0.9150870540540061
3,RF,10,0.9237723259645406
3,XGBoost,10,0.7369404010581326
3,SVR,10,0.49021258889541675
3,Ridge,10,-0.651232435710019
3,GBR,10,0.7937440565151749
3,MLP,10,-0.24141048688346012
3,TabPFN,15,0.9315782480538897
3,RF,15,0.8999952361473097
3,XGBoost,15,0.9441505679040693
3,SVR,15,0.6770997922947258
3,Ridge,15,0.24287860752765145
3,GBR,15,0.9099543184820925
3,MLP,15,-2.983837893417557
3,TabPFN,20,0.9054435636950147
3,RF,20,0.9193218196043866
3,XGBoost,20,0.8784344742731537
3,SVR,20,0.6043387530140768
3,Ridge,20,-0.11065362847440219
3,GBR,20,0.840923085033243
3,MLP,20,-0.6288128051144799
3,TabPFN,25,0.9492057841252743
3,RF,25,0.9495617022342371
3,XGBoost,25,0.9254629899185656
3,SVR,25,0.666215799216834
3,Ridge,25,0.5787962068689496
3,GBR,25,0.9080964471219696
3,MLP,25,0.7964243786391271
3,TabPFN,30,0.9757202005795133
3,RF,30,0.954954447883458
3,XGBoost,30,0.9433347105337773
3,SVR,30,0.5455066029957929
3,Ridge,30,0.11492536450390134
3,GBR,30,0.917245158326327
3,MLP,30,0.7083430663294339
3,TabPFN,35,0.9633697317188729
3,RF,35,0.9128808547130236
3,XGBoost,35,0.9256766101102957
3,SVR,35,0.683437400460432
3,Ridge,35,0.5050358063899226
3,GBR,35,0.8707516718333707
3,MLP,35,0.7908332972099609
3,TabPFN,40,0.9721104347353327
3,RF,40,0.89904746000707
3,XGBoost,40,0.9257167884840601
3,SVR,40,0.6737638510930952
